State;Community Number;Community Name;CRS Entry Date;Current Effective Date;Current Class;% Discount for SFHA;% Discount for Non- SFHA;Status
FL;125118;Indian Shores, Town of ;01.10.1993;01.10.2005;6;20;10;C
FL;120424;Islamorada, Village of   ;01.10.2015;01.05.2017;6;20;10;C
FL;120125;Jackson County ;01.10.2002;01.10.2018;7;15;5;C
FL;120077;Jacksonville, City of ;01.10.1991;01.05.2010;6;20;10;C
FL;120078;Jacksonville Beach, City of ;01.10.1992;01.05.2013;6;20;10;C
FL;120331;Jefferson County  ;01.10.1996;01.10.2016;9;5;5;C
FL;120208;Juno Beach, Town of ;01.10.1993;01.10.2007;5;25;10;C
FL;125119;Jupiter, Town of ;01.10.1994;01.05.2015;5;25;10;C
FL;120162;Jupiter Island, Town of ;01.10.1995;01.10.2015;7;15;5;C
FL;120245;Kenneth City, City of ;01.10.1992;01.05.2006;8;10;5;C
FL;120648;Key Biscayne, Village of ;01.05.1998;01.10.2007;7;15;5;C
FL;125121;Key Colony Beach, City of ;01.10.1992;01.05.2019;7;15;5;C
FL;120168;Key West, City of ;01.10.2016;01.10.2020;5;25;10;C
FL;120190;Kissimmee, City of ;01.10.1996;01.05.2010;7;15;5;C
FL;120667;Lake Alfred, City of;01.10.2018;01.05.2019;6;20;10;M
FL;120211;Lake Clarke Shores, Town of ;01.10.1994;01.10.2009;8;10;5;C
FL;120421;Lake County  ;01.10.1994;01.05.2009;7;15;5;C
FL;120416;Lake Mary, City of ;01.10.2009;01.10.2018;6;20;10;C
FL;120212;Lake Park, Town of ;01.10.1992;01.05.2010;8;10;5;C
FL;120213;Lake Worth, City of ;01.10.1996;01.05.2019;7;15;5;M
FL;120267;Lakeland, City of ;01.10.2004;01.10.2009;7;15;5;C
FL;120214;Lantana, Town of ;01.10.1994;01.10.2020;8;10;5;C
FL;125122;Largo, City of ;01.10.1992;01.05.2020;5;25;10;C
FL;125123;Lauderdale by the Sea, Town of  ;01.05.2000;01.05.2017;8;10;5;C
FL;120044;Lauderhill, City of ;01.10.1992;01.05.2013;7;15;5;C
FL;120169;Layton, City of ;01.10.2001;01.05.2017;6;20;10;C
FL;125124;Lee County ;01.10.1991;01.10.2007;5;25;10;C
FL;120143;Leon County  ;01.05.2015;01.05.2015;6;20;10;C
FL;120145;Levy County  ;01.10.1994;01.05.2014;9;5;5;C
FL;125125;Lighthouse Point, City of ;01.10.1993;01.10.2020;9;5;5;C
FL;125126;Longboat Key, Town of ;01.10.1991;01.05.2020;6;20;10;C
FL;120292;Longwood, City of ;01.10.1996;01.10.2010;10;0;0;R
FL;120009;Lynn Haven, City of ;01.10.1992;01.05.2007;8;10;5;C
FL;125127;Madeira Beach, City of ;01.10.1992;01.05.2020;7;15;5;C
FL;120149;Madison County ;01.10.1994;01.10.2020;8;10;5;C
FL;120215;Manalapan, Town of ;01.10.1992;01.05.2013;8;10;5;C
FL;120153;Manatee County  ;01.10.1991;01.10.2010;5;25;10;C
FL;120216;Mangonia Park, Town of ;01.10.1994;01.05.2015;10;0;0;R
FL;120681;Marathon, City of  ;01.05.2017;01.05.2018;6;20;10;C
FL;120426;Marco Island, City of ;01.10.2000;01.05.2016;5;25;10;C
FL;120047;Margate, City of ;01.10.1992;01.05.2011;7;15;5;C
FL;120160;Marion County  ;01.10.1994;01.10.2009;7;15;5;C
FL;120161;Martin County  ;01.10.1992;01.05.2018;6;20;10;C
FL;120337;Mary Esther, City of ;01.10.2007;01.10.2016;6;20;10;C
FL;120025;Melbourne, City of ;01.10.1993;01.05.2019;8;10;5;C
FL;125128;Melbourne Beach, Town of ;01.05.2016;01.05.2016;8;10;5;C
FL;120650;Miami, City of ;01.10.1994;01.05.2010;7;15;5;C
FL;120635;Miami-Dade County ;01.10.1994;01.10.2003;5;25;10;C
FL;120651;Miami Beach, City of ;01.10.1996;01.05.2019;5;25;10;C
FL;120345;Miami Gardens, City of ;01.05.2009;01.05.2010;6;20;10;C
FL;120686;Miami Lakes, Town of ;01.10.2006;01.05.2017;6;20;10;C
FL;120652;Miami Shores Village, Village of ;01.10.2000;01.10.2000;8;10;5;C
FL;120276;Milton, City of ;01.10.2007;01.05.2012;6;20;10;C
FL;120048;Miramar, City of ;01.10.1993;01.10.2016;8;10;5;C
FL;125129;Monroe County ;01.10.2016;01.10.2017;5;25;10;C
FL;125130;Naples, City of ;01.10.1992;01.10.2015;5;25;10;C
FL;120170;Nassau County ;01.05.2017;01.05.2017;8;10;5;C
FL;120079;Neptune Beach, City of ;01.10.1994;01.05.2015;7;15;5;C
FL;120232;New Port Richey, City of ;01.10.1993;01.05.2012;6;20;10;C
FL;125132;New Smyrna Beach, City of ;01.10.1991;01.10.2019;6;20;10;M
FL;120338;Niceville, City of ;01.10.1993;01.10.2017;6;20;10;C
FL;120049;North Lauderdale, City of ;01.05.2016;01.05.2016;9;5;5;C
FL;120655;North Miami, City of ;01.10.1994;01.05.2018;6;20;10;C
FL;120656;North Miami Beach, City of ;01.10.1993;01.10.2017;8;10;5;C
FL;120217;North Palm Beach, Village of ;01.10.1994;01.10.2020;5;25;10;C
FL;120279;North Port, City of ;01.10.1992;01.05.2020;5;25;10;M
FL;125133;North Redington Beach, Town of ;01.10.1992;01.10.2012;7;15;5;C
FL;120050;Oakland Park, City of ;01.10.1994;01.10.2020;6;20;10;C
FL;120330;Ocala, City of ;01.10.1991;01.10.2015;3;35;10;C
FL;125134;Ocean Ridge, Town of ;01.10.1992;01.05.2009;7;15;5;C
FL;120173;Okaloosa County  ;01.10.1995;01.10.2010;5;25;10;C
FL;120177;Okeechobee County  ;01.10.1996;01.10.2000;8;10;5;C
FL;120250;Oldsmar, City of ;01.10.1992;01.05.2006;6;20;10;C
FL;120657;Opa-locka, City of ;01.10.2013;01.05.2020;9;5;5;C
FL;120179;Orange County  ;01.10.1991;01.05.2008;5;25;10;C
FL;120186;Orlando, City of ;01.10.1993;01.05.2008;6;20;10;C
FL;125136;Ormond Beach, City of ;01.10.1992;01.05.2012;6;20;10;C
FL;120189;Osceola County  ;01.10.1994;01.05.2013;6;20;10;C
FL;120293;Oviedo, City of ;01.10.2008;01.10.2013;6;20;10;C
FL;120404;Palm Bay, City of ;01.10.1993;01.05.2019;7;15;5;C
FL;120220;Palm Beach, Town of ;01.10.1992;01.10.2020;6;20;10;C
FL;120192;Palm Beach County ;01.10.1991;01.10.2011;5;25;10;C
FL;120221;Palm Beach Gardens, City of ;01.10.2003;01.05.2014;10;0;0;R
FL;125137;Palm Beach Shores, Town of ;01.10.1994;01.05.2019;7;15;5;M
FL;120684;Palm Coast, City of ;01.05.2004;01.05.2017;4;30;10;C
FL;120223;Palm Springs, Village of ;01.10.1992;01.05.2008;8;10;5;C
FL;120159;Palmetto, City of ;01.10.1991;01.10.2018;7;15;5;C
FL;120687;Palmetto Bay, Village of ;01.05.2017;01.05.2017;8;10;5;C
FL;120012;Panama City, City of ;01.10.1993;01.05.2013;6;20;10;C
FL;120013;Panama City Beach, City of ;01.05.2016;01.05.2016;8;10;5;C
FL;120011;Parker, City of ;01.10.1994;01.05.2020;9;5;5;C
FL;120051;Parkland, City of ;01.05.2016;01.05.2016;9;5;5;C
FL;120230;Pasco County  ;01.10.1992;01.10.2012;6;20;10;C
FL;120052;Pembroke Park, Town of;01.10.2018;01.10.2018;9;5;5;C
FL;120053;Pembroke Pines, City of ;01.10.1994;01.10.1998;7;15;5;C
FL;120082;Pensacola, City of ;01.10.2002;01.10.2012;7;15;5;C
FL;125138;Pensacola Beach–Santa Rosa Island Authority;01.10.1991;01.10.2016;5;25;10;C
FL;120425;Pinecrest, Village of  ;01.10.2016;01.10.2016;8;10;5;C
FL;125139;Pinellas County  ;01.10.1993;01.05.2016;5;25;10;C
FL;120251;Pinellas Park, City of  ;01.10.1991;01.10.2017;6;20;10;C
FL;120113;Plant City, City of ;01.10.2017;01.10.2017;8;10;5;C
FL;120054;Plantation, City of ;01.10.1992;01.10.2020;7;15;5;C
FL;120261;Polk County ;01.10.1992;01.10.2011;6;20;10;C
FL;120055;Pompano Beach, City of ;01.10.1993;01.05.2020;6;20;10;C
FL;120312;Ponce Inlet, Town of ;01.05.2004;01.05.2014;5;25;10;C
FL;120313;Port Orange, City of ;01.10.1992;01.05.2016;5;25;10;C
FL;120234;Port Richey, City of ;01.10.1992;01.10.2007;7;15;5;C
FL;120099;Port St. Joe, City of ;01.10.1994;01.10.2009;10;0;0;R
FL;120287;Port St. Lucie, City of ;01.10.1991;01.10.1996;8;10;5;C
FL;120062;Punta Gorda, City of ;01.10.1992;01.10.2016;5;25;10;C
FL;120272;Putnam County ;01.10.2016;01.10.2016;8;10;5;C
FL;125140;Redington Beach, Town of ;01.10.1993;01.05.2013;7;15;5;C
FL;125141;Redington Shores, Town of ;01.10.1992;01.05.2019;6;20;10;C
FL;125142;Riviera Beach, City of ;01.05.2016;01.05.2016;9;5;5;C
FL;120027;Rockledge, City of ;01.10.1991;01.10.1996;8;10;5;C
FL;120225;Royal Palm Beach, Village of;01.10.2018;01.10.2018;6;20;10;C
FL;125143;Safety Harbor, City of ;01.10.1992;01.10.2013;7;15;5;C
FL;120294;Sanford, City of  ;01.10.2016;01.10.2016;7;15;5;C
FL;120402;Sanibel, City of ;01.10.1991;01.05.2001;5;25;10;C
FL;120274;Santa Rosa County  ;01.10.1993;01.10.2011;5;25;10;C
FL;125150;Sarasota, City of ;01.10.1991;01.10.2010;6;20;10;C
FL;125144;Sarasota County  ;01.10.1992;01.05.2007;5;25;10;C
FL;120028;Satellite Beach, City of ;01.10.1992;01.10.2017;10;0;0;R
FL;120123;Sebastian, City of ;01.10.1992;01.10.2010;7;15;5;C
FL;120289;Seminole County ;01.10.1991;01.05.2011;6;20;10;C
FL;120164;Sewall’s Point, Town of ;01.10.1996;01.05.2019;10;0;0;R
FL;120579;Shalimar, Town of ;01.10.1995;01.10.2000;8;10;5;C
FL;120314;South Daytona, City of ;01.10.1992;01.10.2018;6;20;10;C
FL;120658;South Miami, City of ;01.10.1993;01.05.2013;7;15;5;C
FL;120227;South Palm Beach, Town of ;01.10.1993;01.10.2020;8;10;5;C
FL;125151;South Pasadena, City of ;01.10.1992;01.05.2020;8;10;5;C
FL;120691;Southwest Ranches, Town of;01.05.2020;01.05.2020;8;10;5;NA
FL;125145;St. Augustine, City of ;01.10.1992;01.10.2019;5;25;10;C
FL;125146;St. Augustine Beach, City of ;01.10.1993;01.05.2008;8;10;5;C
FL;120191;St. Cloud, City of ;01.10.1993;01.10.2013;7;15;5;C
FL;125147;St. Johns County  ;01.10.1995;01.05.2016;5;25;10;C
FL;120285;St. Lucie County  ;01.10.1994;01.05.2009;6;20;10;C
FL;120316;St. Marks, Town of ;01.10.1993;01.10.2008;8;10;5;C
FL;125149;St. Pete Beach, City of ;01.10.1991;01.05.2016;6;20;10;C
FL;125148;St. Petersburg, City of ;01.10.1992;01.10.2016;5;25;10;C
FL;120296;Sumter County  ;01.10.1995;01.05.2020;6;20;10;C
FL;120688;Sunny Isles Beach, City of ;01.10.2007;01.10.2012;7;15;5;C
FL;120328;Sunrise, City of ;01.10.1992;01.10.2002;7;15;5;C
FL;120659;Surfside, Town of ;01.05.2016;01.05.2018;7;15;5;C
FL;120300;Suwannee County ;01.10.1996;01.10.2014;10;0;0;R
FL;120144;Tallahassee, City of ;01.10.1994;01.10.2006;6;20;10;C
FL;120058;Tamarac, City of ;01.10.1992;01.10.2011;6;20;10;C
FL;120114;Tampa, City of ;01.10.1991;01.10.2019;5;25;10;C
FL;120259;Tarpon Springs, City of ;01.10.1992;01.10.2019;6;20;10;C
FL;120302;Taylor County ;01.10.1996;01.10.2011;7;15;5;C
FL;120115;Temple Terrace, City of ;01.10.1993;01.10.2013;6;20;10;C
FL;120228;Tequesta, Village of ;01.10.1992;01.05.2016;7;15;5;C
FL;125152;Titusville, City of ;01.10.1992;01.05.2011;7;15;5;C
FL;125153;Treasure Island, City of ;01.10.1992;01.05.2012;6;20;10;C
FL;120176;Valparaiso, City of ;01.10.2014;01.10.2020;10;0;0;R
FL;125154;Venice, City of ;01.10.1991;01.10.2005;6;20;10;C
FL;120124;Vero Beach, City of ;01.10.1993;01.05.2020;7;15;5;M
FL;125155;Volusia County ;01.10.1993;01.10.2013;5;25;10;C
FL;120315;Wakulla County  ;01.10.1993;01.10.2008;7;15;5;C
FL;120317;Walton County ;01.10.2014;01.05.2020;6;20;10;C
FL;125157;Wellington, Village of ;01.10.2003;01.05.2015;6;20;10;C
FL;120229;West Palm Beach, City of ;01.10.1992;01.10.2018;5;25;10;C
FL;120678;Weston, City of ;01.05.2009;01.05.2020;6;20;10;C
FL;120271;Winter Haven, City of ;01.10.2017;01.10.2017;8;10;5;C 
FL;120295;Winter Springs, City of ;01.10.1993;01.05.2013;6;20;10;C
FL;120147;Yankeetown, Town of ;01.10.1994;01.10.2008;6;20;10;C
GA;130075;Albany, City of ;01.10.1994;01.05.2016;7;15;5;C
GA;135157;Atlanta, City of  ;01.10.2015;01.10.2015;7;15;5;C
GA;130158;Augusta-Richmond County, City of;01.10.2018;01.10.2018;7;15;5;C
GA;130054;Austell, City of ;01.10.2012;01.05.2018;7;15;5;C
GA;130452;Bloomingdale, City of  ;01.05.2015;01.05.2016;8;10;5;C
GA;130093;Brunswick, City of ;01.10.1993;01.10.2020;6;20;10;C
GA;130016;Bryan County ;01.05.2014;01.10.2016;6;20;10;C
GA;130262;Camden County ;01.05.2013;01.05.2017;6;20;10;C
GA;130209;Cartersville, City of ;01.05.2005;01.05.2016;7;15;5;C
GA;130028;Catoosa County ;01.05.2013;01.05.2019;9;5;5;C
GA;130030;Chatham County ;01.10.1991;01.05.2015;5;25;10;C
GA;130424;Cherokee County ;01.05.2005;01.05.2005;8;10;5;C
GA;130052;Cobb County ;01.10.1991;01.10.1997;8;10;5;C
GA;130086;College Park, City of ;01.10.1992;01.10.2002;6;20;10;C
GA;130059;Columbia County ;01.05.1999;01.05.2019;8;10;5;C
GA;135158;Columbus Consolidated Government;01.10.1991;01.10.2018;8;10;5;C
GA;130144;Covington, City of ;01.10.1993;01.10.2019;8;10;5;C
GA;130298;Coweta County ;01.05.2012;01.10.2019;10;0;0;R
GA;130504;Crisp County ;01.05.2005;01.05.2005;9;5;5;C
GA;135159;Decatur, City of ;01.10.1993;01.05.2015;7;15;5;C
GA;130065;Dekalb County  ;01.10.1992;01.10.2008;7;15;5;C
GA;130074;Dougherty County  ;01.10.1993;01.05.2010;6;20;10;C
GA;130216;Douglas, City of ;01.05.2011;01.05.2011;9;5;5;C
GA;130306;Douglas County  ;01.10.1995;01.10.2016;7;15;5;C
GA;130098;Duluth, City of ;01.10.1997;01.10.2008;8;10;5;C
GA;130087;East Point, City of ;01.10.2013;01.10.2013;7;15;5;C
GA;130076;Effingham County ;01.05.2013;01.05.2013;7;15;5;C
GA;130432;Fayette County ;01.05.2004;01.10.2009;6;20;10;C
GA;130431;Fayetteville, City of ;01.05.2006;01.10.2011;7;15;5;C
GA;130042;Forest Park, City of ;01.05.2012;01.05.2012;9;5;5;C
GA;135160;Fulton County ;01.05.2000;01.05.2018;10;0;0;R 
GA;135161;Garden City, City of ;01.10.2013;01.05.2019;6;20;10;C
GA;130092;Glynn County  ;01.10.1992;01.05.2019;6;20;10;C
GA;130165;Griffin, City of ;01.10.2008;01.05.2011;5;25;10;C
GA;130322;Gwinnett County ;01.10.1994;01.05.2015;7;15;5;C
GA;130468;Henry County ;01.05.2012;01.05.2012;8;10;5;C
GA;130125;Hinesville, City of ;01.05.2013;01.10.2018;6;20;10;C
GA;130201;Jekyll Island, State Park Auth of ;01.10.1993;01.05.2017;5;25;10;C
GA;130678;John's Creek, City of ;01.10.2013;01.10.2019;7;15;5;C
GA;130044;Lake City, City of ;01.05.2012;01.05.2012;9;5;5;C
GA;130226;Marietta, City of ;01.10.2013;01.10.2013;8;10;5;C
GA;130130;McIntosh County ;01.05.2018;01.05.2018;7;15;5;C 
GA;130045;Morrow, City of ;01.05.2012;01.05.2012;9;5;5;C
GA;130147;Paulding County  ;01.10.1991;01.10.1996;10;0;0;R
GA;130078;Peachtree City, City of ;01.10.1993;01.10.2003;7;15;5;C
GA;135176;Peachtree Corners, City of ;01.10.2020;01.10.2020;8;10;5;C
GA;130017;Pembroke, City of ;01.05.2017;01.05.2017;9;5;5;C
GA;130261;Pooler, City of ;01.10.1993;01.10.2015;6;20;10;C
GA;130056;Powder Springs, City of  ;01.10.2015;01.10.2015;6;20;10;C
GA;130018;Richmond Hill, City of ;01.05.2016;01.05.2016;7;15;5;C
GA;130088;Roswell, City of ;01.10.1991;01.10.1996;7;15;5;C
GA;135163;Savannah, City of ;01.10.1992;01.05.2016;5;25;10;C
GA;130027;St. Marys, City of ;01.05.2016;01.10.2019;6;20;10;M
GA;130460;Thunderbolt, Town of  ;01.05.2015;01.05.2016;6;20;10;C
GA;130171;Tifton, City of ;01.10.2008;01.10.2008;8;10;5;C
GA;135164;Tybee Island, City of ;01.10.1993;01.05.2015;5;25;10;C
GA;130025;Waynesboro, City of ;01.10.1991;01.10.1997;10;0;0;R
GA;130196;Worth County ;01.05.2003;01.05.2003;9;5;5;C
HI;155166;Hawaii County ;01.05.2011;01.10.2019;7;15;5;C
HI;150003;Maui County  ;01.10.1995;01.05.2018;7;15;5;C
ID;160001;Ada County  ;01.10.1994;01.10.2013;6;20;10;C
ID;160009;Bannock County  ;01.10.1994;01.10.1999;8;10;5;C
ID;165167;Blaine County  ;01.10.1994;01.05.2017;7;15;5;C
ID;160002;Boise, City of ;01.10.1991;01.05.2001;6;20;10;C
ID;160206;Bonner County ;01.10.2005;01.05.2011;8;10;5;C
ID;160209;Caribou County ;01.05.2006;01.05.2015;10;0;0;R
ID;160003;Eagle, City of ;01.05.2000;01.05.2000;6;20;10;C
ID;160212;Elmore County ;01.10.1994;01.10.2009;9;5;5;C
ID;160004;Garden City, City of ;01.10.1998;01.10.2013;8;10;5;C
ID;160127;Gem County ;01.05.2008;01.05.2008;9;5;5;C
ID;160022;Hailey, City of ;01.10.1992;01.10.2018;8;10;5;C
ID;160131;Kellogg, City of ;01.10.1992;01.05.2018;9;5;5;C
ID;160023;Ketchum, City of ;01.10.1992;01.05.2019;7;15;5;C
ID;160076;Kootenai County  ;01.10.1992;01.10.2016;7;15;5;C
ID;160180;Meridian, City of ;01.05.2016;01.05.2016;8;10;5;C
ID;160090;Moscow, City of ;01.10.1994;01.05.2019;8;10;5;C
ID;160058;Mountain Home, City of ;01.10.1994;01.10.1999;8;10;5;C
ID;160101;Nez Perce County ;01.10.2001;01.05.2014;10;0;0;R
ID;160012;Pocatello, City of ;01.10.1994;01.10.1999;8;10;5;C
ID;160114;Shoshone County  ;01.10.1994;01.10.2018;10;0;0;R
ID;160024;Sun Valley, City of ;01.10.1994;01.10.1999;8;10;5;C
ID;160120;Twin Falls, City of ;01.10.1994;01.05.2009;8;10;5;C
ID;160220;Valley County ;01.10.1994;01.05.2016;10;0;0;R
IL;170001;Adams County ;01.10.1996;01.10.2001;8;10;5;C
IL;170198;Addison, Village of ;01.10.1991;01.05.2012;6;20;10;C
IL;170320;Aurora, City of ;01.05.2019;01.05.2019;7;15;5;NA
IL;170059;Bartlett, Village of ;01.10.1991;01.10.2018;6;20;10;C
IL;170072;Calumet City, City of ;01.10.2000;01.05.2003;6;20;10;C
IL;170298;Carbondale, City of ;01.10.2002;01.10.2008;10;0;0;R
IL;170322;Carpentersville, Village of ;01.10.2006;01.10.2011;6;20;10;C
IL;170026;Champaign, City of ;01.05.2011;01.05.2016;5;25;10;C
IL;170078;Country Club Hills, City of ;01.10.1993;01.10.1994;8;10;5;C
IL;170476;Crystal Lake, City of ;01.05.2012;01.10.2018;7;15;5;C
IL;170361;Deerfield, Village of ;01.10.1995;01.05.2008;6;20;10;C
IL;170182;DeKalb, City of ;01.05.2005;01.10.2015;7;15;5;C
IL;170081;Des Plaines, City of ;01.10.1993;01.05.2020;6;20;10;C
IL;170204;Downers Grove, Village of ;01.10.1991;01.05.2014;6;20;10;C
IL;170197;DuPage County;01.10.2018;01.10.2018;6;20;10;C
IL;170091;Flossmoor, Village of ;01.10.1993;01.05.2013;7;15;5;C
IL;170207;Glen Ellyn, Village of ;01.10.2011;01.10.2016;7;15;5;C
IL;170206;Glendale Heights, Village of ;01.10.1994;01.05.2016;7;15;5;C
IL;170096;Glenview, Village of ;01.10.2011;01.10.2020;6;20;10;C
IL;170365;Gurnee, Village of ;01.10.2011;01.10.2013;6;20;10;C
IL;170327;Hampshire, Village of ;01.05.2011;01.05.2011;7;15;5;C
IL;170367;Highland Park, City of  ;01.05.2015;01.05.2015;8;10;5;C
IL;170107;Hoffman Estates, Village of ;01.10.1992;01.05.2018;6;20;10;C
IL;179480;Huntley, Village of;01.05.2019;01.05.2019;7;15;5;NA
IL;170312;Jersey County ;01.05.2009;01.10.2012;5;25;10;C
IL;170357;Lake County ;01.10.2008;01.10.2011;6;20;10;C
IL;170374;Lake Forest, City of ;01.10.2014;01.10.2014;7;15;5;C
IL;170481;Lake in the Hills, Village of ;01.05.2008;01.10.2020;5;25;10;C
IL;170400;LaSalle County ;01.05.2005;01.05.2017;8;10;5;C
IL;170116;Lansing, Village of ;01.10.1993;01.10.2001;7;15;5;C
IL;170377;Libertyville, Village of;01.05.2019;01.05.2019;6;20;10;NA
IL;170378;Lincolnshire, Village of ;01.10.1993;01.10.2003;5;25;10;C
IL;170211;Lisle, Village of ;01.10.1991;01.05.2014;5;25;10;C
IL;170732;McHenry County ;01.10.2011;01.05.2018;7;15;5;C
IL;170125;Melrose Park, Village of   ;01.10.2015;01.10.2015;8;10;5;C
IL;170469;Metropolis, City of ;01.05.2016;01.05.2016;8;10;5;C
IL;170127;Midlothian, Village of ;01.05.2018;01.05.2018;7;15;5;C 
IL;170591;Moline, City of ;01.10.2010;01.10.2010;8;10;5;C
IL;170328;Montgomery, Village of  ;01.05.2015;01.05.2015;5;25;10;C
IL;170129;Mount Prospect, Village of ;01.10.1991;01.10.2017;6;20;10;C
IL;170213;Naperville, City of ;01.10.1991;01.10.1997;10;0;0;R
IL;170130;Niles, Village of ;01.10.2013;01.10.2019;5;25;10;C
IL;170822;North Utica, Village of ;01.05.2005;01.10.2009;10;0;0;R
IL;170132;Northbrook, Village of ;01.10.1994;01.05.2004;7;15;5;C
IL;170133;Northfield, Village of  ;01.10.2016;01.10.2016;7;15;5;C
IL;170214;Oak Brook, Village of ;01.10.1992;01.10.1997;7;15;5;C
IL;170525;Ogle County  ;01.05.2015;01.05.2015;7;15;5;C
IL;170172;Orland Hills, Village of ;01.10.1996;01.10.2002;5;25;10;C
IL;170405;Ottawa, City of ;01.10.2010;01.05.2019;2;40;10;C
IL;175170;Palatine, Village of ;01.10.1994;01.05.2004;7;15;5;C
IL;170533;Peoria County  ;01.10.1992;01.05.2009;5;25;10;C
IL;170478;Port Barrington, Village of ;01.10.2020;01.10.2020;7;15;5;C
IL;170919;Prospect Heights, City of ;01.10.1994;01.10.2015;7;15;5;C
IL;170151;River Forest, Village of ;01.05.2012;01.05.2012;7;15;5;C
IL;170387;Riverwoods, Village of ;01.05.2007;01.05.2020;6;20;10;C
IL;170582;Rock Island County ;01.10.2006;01.10.2006;7;15;5;C
IL;170448;Roxana, Village of ;01.10.2011;01.10.2011;8;10;5;C
IL;170912;Sangamon County ;01.05.2000;01.10.2015;7;15;5;C
IL;170332;South Elgin, Village of ;01.10.2012;01.10.2012;5;25;10;C
IL;170163;South Holland, Village of ;01.10.1992;01.10.2002;5;25;10;C
IL;170330;St. Charles, City of ;01.10.1994;01.10.2011;5;25;10;C
IL;170616;St. Clair County ;01.05.2016;01.05.2018;6;20;10;C
IL;170333;Sugar Grove, Village of ;01.10.2006;01.10.2011;6;20;10;C
IL;170637;Swansea, Village of ;01.05.2019;01.05.2019;7;15;5;NA
IL;170191;Sycamore, City of ;01.05.2012;01.05.2012;7;15;5;C
IL;170169;Tinley Park, Village of ;01.10.2005;01.10.2016;7;15;5;C
IL;170170;Westchester, Village of ;01.10.2012;01.05.2020;7;15;5;C
IL;170221;Wheaton, City of ;01.05.2018;01.05.2018;6;20;10;C 
IL;170173;Wheeling, Village of ;01.10.1991;01.05.2014;6;20;10;C
IL;170687;Whiteside County ;01.10.2007;01.10.2007;8;10;5;C
IL;170222;Willowbrook, Village of ;01.10.1991;01.05.2012;6;20;10;C
IL;170176;Winnetka, Village of   ;01.05.2015;01.05.2015;6;20;10;C
IL;170224;Wood Dale, City of  ;01.10.1999;01.10.2004;5;25;10;C
IL;170488;Woodstock, City of ;01.05.2011;01.05.2016;10;0;0;R
IN;180302;Allen County ;01.10.2002;01.10.2009;8;10;5;C
IN;180150;Anderson, City of ;01.05.2007;01.10.2012;9;5;5;C
IN;180097;Andrews, Town of  ;01.05.2015;01.10.2020;7;15;5;C
IN;180006;Bartholomew County ;01.10.1993;01.10.2009;8;10;5;C
IN;180289;Bluffton, City of  ;01.05.2015;01.05.2015;7;15;5;C
IN;180081;Carmel, City of;01.10.2019;01.10.2019;8;10;5;NA
IN;180026;Clarksville, Town of ;01.05.2014;01.05.2017;8;10;5;C
IN;180007;Columbus, City of ;01.10.1998;01.10.2018;7;15;5;C
IN;180001;Decatur, City of ;01.10.1993;01.05.2018;7;15;5;C
IN;180129;Dyer, Town of ;01.10.2014;01.05.2019;8;10;5;C
IN;180257;Evansville, City of ;01.10.1999;01.10.2004;8;10;5;C
IN;180003;Fort Wayne, City of ;01.10.1991;01.05.2016;10;0;0;R
IN;180080;Hamilton County ;01.10.1991;01.05.2004;7;15;5;C
IN;180419;Hancock County ;01.10.2003;01.10.2016;7;15;5;C
IN;180415;Hendricks County ;01.05.2012;01.05.2012;8;10;5;C
IN;180438;Huntington County  ;01.05.2015;01.10.2020;7;15;5;C
IN;180094;Huntington, City of  ;01.05.2015;01.05.2020;7;15;5;C
IN;180159;Indianapolis, City of ;01.10.2007;01.10.2007;8;10;5;C
IN;180027;Jeffersonville, City of ;01.05.2014;01.05.2014;8;10;5;C
IN;180093;Kokomo, City of ;01.10.1995;01.10.1996;8;10;5;C
IN;180121;Kosciusko, County of ;01.10.1997;01.05.2018;9;5;5;C
IN;180126;Lake County ;01.10.2014;01.10.2017;10;0;0;R
IN;180013;Lebanon, City of ;01.10.2013;01.10.2017;7;15;5;C
IN;180138;Merrillville, Town of ;01.10.2014;01.10.2014;7;15;5;C
IN;180382;Milford, Town of ;01.10.1997;01.05.2018;9;5;5;C
IN;180082;Noblesville, City of ;01.10.1991;01.05.2017;7;15;5;C
IN;180465;North Webster, Town of ;01.10.1997;01.05.2018;9;5;5;C
IN;180290;Ossian, Town of  ;01.05.2015;01.05.2020;7;15;5;C
IN;180096;Roanoke, Town of  ;01.05.2015;01.05.2017;8;10;5;C
IN;180122;Syracuse, Town of  ;01.10.1997;01.05.2018;9;5;5;C
IN;180256;Vanderburgh County ;01.05.1999;01.05.1999;8;10;5;C
IN;180293;Vera Cruz, Town of  ;01.05.2015;01.05.2015;7;15;5;C
IN;180263;Vigo County  ;01.10.1995;01.10.2005;10;0;0;R
IN;180095;Warren, Town of  ;01.05.2015;01.10.2020;7;15;5;C
IN;180288;Wells County  ;01.05.2015;01.05.2020;7;15;5;C
IN;180573;Zanesville, Town of ;01.05.2018;01.05.2018;8;10;5;C 
IA;190017;Cedar Falls, City of ;01.05.2014;01.05.2014;5;25;10;C
IA;190187;Cedar Rapids, City of ;01.05.2011;01.05.2014;6;20;10;C
IA;190128;Charles City, City of;01.10.2018;01.10.2018;9;5;5;C
IA;190488;Clive, City of ;01.05.2018;01.05.2019;5;25;10;M
IA;190169;Coralville, City of ;01.05.2016;01.05.2016;7;15;5;C
IA;190242;Davenport, City of ;01.10.1995;01.10.2020;7;15;5;C
